Date,1 mo,2 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
01/02/04,0.88,,0.93,1.02,1.31,1.94,2.47,3.36,3.9,4.38,5.21,
01/05/04,0.88,,0.91,1.05,1.35,1.95,2.51,3.39,3.92,4.41,5.23,
01/06/04,0.88,,0.91,1.03,1.3,1.84,2.38,3.26,3.8,4.29,5.13,
01/07/04,0.88,,0.91,1.02,1.29,1.84,2.36,3.25,3.76,4.27,5.11,
01/08/04,0.87,,0.88,1.01,1.29,1.85,2.37,3.24,3.76,4.27,5.12,
01/09/04,0.87,,0.87,0.97,1.21,1.68,2.17,3.05,3.58,4.11,4.98,
01/12/04,0.88,,0.89,0.98,1.21,1.68,2.18,3.04,3.58,4.11,4.99,
01/13/04,0.86,,0.89,0.97,1.18,1.63,2.12,2.98,3.51,4.05,4.95,
01/14/04,0.85,,0.88,0.96,1.19,1.65,2.13,2.96,3.49,4.01,4.9,
01/15/04,0.82,,0.88,0.96,1.18,1.67,2.16,2.97,3.48,3.99,4.87,
01/16/04,0.8,,0.89,0.97,1.21,1.7,2.19,3.03,3.54,4.04,4.9,
01/20/04,0.8,,0.89,0.98,1.21,1.69,2.21,3.05,3.58,4.08,4.93,
01/21/04,0.82,,0.89,0.96,1.19,1.69,2.2,3.02,3.55,4.05,4.92,
01/22/04,0.74,,0.88,0.96,1.19,1.66,2.14,2.96,3.49,3.99,4.86,
01/23/04,0.79,,0.9,0.96,1.21,1.71,2.22,3.06,3.59,4.09,4.95,
01/26/04,0.82,,0.9,0.99,1.23,1.75,2.27,3.13,3.66,4.16,5.01,
01/27/04,0.89,,0.91,0.98,1.21,1.7,2.21,3.07,3.6,4.11,4.96,
01/28/04,0.89,,0.94,1.0,1.26,1.87,2.39,3.22,3.72,4.22,5.06,
01/29/04,0.87,,0.94,1.02,1.29,1.88,2.39,3.22,3.74,4.22,5.05,
01/30/04,0.85,,0.92,1.01,1.28,1.84,2.35,3.17,3.68,4.16,5.0,
02/02/04,0.87,,0.94,1.03,1.29,1.83,2.36,3.18,3.7,4.18,5.02,
02/03/04,0.93,,0.94,1.02,1.27,1.78,2.3,3.12,3.65,4.13,4.98,
02/04/04,0.91,,0.94,1.01,1.27,1.8,2.32,3.15,3.67,4.15,5.0,
02/05/04,0.89,,0.94,1.02,1.29,1.85,2.4,3.21,3.72,4.2,5.02,
02/06/04,0.89,,0.93,1.01,1.26,1.77,2.29,3.12,3.63,4.12,4.95,
02/09/04,0.89,,0.94,1.02,1.25,1.76,2.26,3.08,3.6,4.09,4.93,
02/10/04,0.91,,0.95,1.02,1.27,1.82,2.33,3.13,3.64,4.13,4.97,
02/11/04,0.89,,0.93,1.0,1.23,1.73,2.23,3.03,3.56,4.05,4.9,
02/12/04,0.9,,0.93,1.0,1.24,1.75,2.26,3.07,3.58,4.1,4.94,
02/13/04,0.9,,0.92,0.98,1.21,1.7,2.19,3.01,3.54,4.05,4.92,
02/17/04,0.9,,0.95,1.0,1.21,1.7,2.2,3.02,3.54,4.05,4.91,
02/18/04,0.93,,0.94,1.0,1.23,1.72,2.22,3.03,3.55,4.05,4.91,
02/19/04,0.93,,0.94,1.0,1.23,1.7,2.2,3.02,3.54,4.05,4.91,
02/20/04,0.93,,0.94,1.01,1.26,1.75,2.25,3.08,3.59,4.1,4.96,
02/23/04,0.95,,0.97,1.02,1.22,1.69,2.21,3.03,3.55,4.05,4.92,
02/24/04,0.97,,0.97,1.02,1.23,1.69,2.2,3.01,3.53,4.04,4.9,
