Date,1 mo,2 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
01/02/09,0.04,,0.08,0.28,0.4,0.88,1.14,1.72,2.07,2.46,3.22,2.83
01/05/09,0.05,,0.14,0.32,0.43,0.78,1.08,1.67,2.07,2.49,3.37,3.0
01/06/09,0.05,,0.14,0.31,0.45,0.8,1.1,1.68,2.07,2.51,3.41,3.04
01/07/09,0.03,,0.11,0.29,0.44,0.82,1.15,1.66,2.02,2.52,3.41,3.05
01/08/09,0.04,,0.09,0.28,0.44,0.83,1.16,1.6,1.95,2.47,3.4,3.04
01/09/09,0.03,,0.07,0.28,0.43,0.75,1.11,1.51,1.88,2.43,3.39,3.04
01/12/09,0.04,,0.12,0.29,0.43,0.74,1.09,1.45,1.81,2.34,3.3,2.99
01/13/09,0.02,,0.11,0.29,0.43,0.76,1.07,1.44,1.8,2.33,3.3,3.0
01/14/09,0.07,,0.12,0.28,0.42,0.73,1.03,1.36,1.71,2.24,3.17,2.89
01/15/09,0.03,,0.11,0.29,0.42,0.73,1.01,1.36,1.71,2.23,3.16,2.86
01/16/09,0.04,,0.12,0.29,0.43,0.73,1.05,1.47,1.83,2.36,3.22,2.89
01/20/09,0.04,,0.13,0.3,0.42,0.73,1.06,1.48,1.85,2.4,3.3,2.97
01/21/09,0.03,,0.11,0.3,0.43,0.78,1.12,1.6,1.99,2.56,3.51,3.15
01/22/09,0.03,,0.1,0.29,0.42,0.75,1.11,1.61,2.02,2.62,3.61,3.25
01/23/09,0.03,,0.11,0.3,0.46,0.83,1.16,1.64,2.05,2.65,3.65,3.32
01/26/09,0.02,,0.14,0.34,0.47,0.85,1.21,1.67,2.09,2.7,3.71,3.39
01/27/09,0.05,,0.13,0.32,0.47,0.87,1.15,1.59,1.99,2.59,3.57,3.26
01/28/09,0.08,,0.19,0.33,0.48,0.89,1.22,1.7,2.1,2.71,3.73,3.44
01/29/09,0.14,,0.23,0.35,0.51,0.95,1.34,1.87,2.28,2.87,3.85,3.57
01/30/09,0.15,,0.24,0.36,0.51,0.94,1.32,1.85,2.27,2.87,3.86,3.58
02/02/09,0.19,,0.27,0.39,0.51,0.89,1.27,1.75,2.16,2.76,3.75,3.47
02/03/09,0.28,,0.32,0.4,0.53,0.96,1.37,1.88,2.28,2.89,3.88,3.64
02/04/09,0.26,,0.3,0.4,0.53,0.98,1.42,1.91,2.32,2.95,3.88,3.65
02/05/09,0.21,,0.29,0.43,0.54,0.98,1.4,1.89,2.32,2.95,3.86,3.63
02/06/09,0.21,,0.28,0.44,0.57,0.99,1.44,1.97,2.4,3.05,3.94,3.7
02/09/09,0.22,,0.32,0.47,0.6,1.05,1.5,1.99,2.42,3.07,3.91,3.69
02/10/09,0.24,,0.31,0.44,0.6,0.92,1.31,1.79,2.23,2.9,3.77,3.54
02/11/09,0.22,,0.3,0.46,0.6,0.93,1.32,1.76,2.17,2.78,3.69,3.45
02/12/09,0.25,,0.29,0.43,0.58,0.89,1.28,1.73,2.14,2.75,3.71,3.47
02/13/09,0.23,,0.29,0.46,0.61,0.97,1.37,1.88,2.29,2.89,3.91,3.68
02/17/09,0.26,,0.32,0.48,0.61,0.87,1.22,1.65,2.05,2.64,3.7,3.47
02/18/09,0.23,,0.31,0.5,0.64,0.97,1.33,1.81,2.18,2.74,3.77,3.54
02/19/09,0.22,,0.3,0.51,0.67,1.01,1.38,1.89,2.28,2.85,3.92,3.68
02/20/09,0.19,,0.27,0.48,0.64,0.96,1.3,1.81,2.21,2.78,3.82,3.56
02/23/09,0.19,,0.29,0.5,0.69,0.96,1.34,1.84,2.22,2.78,3.79,3.53
02/24/09,0.22,,0.32,0.49,0.71,1.03,1.37,1.89,2.26,2.8,3.77,3.49
02/25/09,0.21,,0.3,0.52,0.75,1.09,1.49,2.06,2.42,2.95,3.88,3.59
02/26/09,0.18,,0.27,0.47,0.73,1.08,1.5,2.07,2.72,2.98,3.93,3.66
02/27/09,0.16,,0.26,0.45,0.72,1.0,1.4,1.99,2.69,3.02,3.98,3.71
03/02/09,0.17,,0.28,0.45,0.67,0.89,1.28,1.86,2.54,2.91,3.89,3.64
03/03/09,0.14,,0.27,0.44,0.68,0.91,1.31,1.87,2.58,2.93,3.92,3.67
03/04/09,0.15,,0.26,0.44,0.71,0.97,1.4,1.97,2.67,3.01,3.96,3.69
03/05/09,0.11,,0.2,0.4,0.66,0.9,1.3,1.82,2.49,2.83,3.76,3.51
03/06/09,0.09,,0.21,0.39,0.67,0.91,1.34,1.83,2.49,2.83,3.74,3.5
03/09/09,0.12,,0.23,0.47,0.69,0.96,1.38,1.9,2.53,2.89,3.83,3.59
03/10/09,0.14,,0.24,0.47,0.71,1.01,1.46,1.99,2.63,2.99,3.94,3.7
03/11/09,0.14,,0.23,0.46,0.71,1.03,1.45,1.96,2.56,2.95,3.88,3.67
03/12/09,0.11,,0.22,0.45,0.7,1.03,1.42,1.92,2.5,2.89,3.82,3.63
03/13/09,0.09,,0.2,0.42,0.67,0.98,1.36,1.87,2.48,2.89,3.84,3.66
03/16/09,0.11,,0.24,0.46,0.69,1.0,1.39,1.91,2.55,2.97,3.93,3.76
03/17/09,0.14,,0.24,0.45,0.69,1.05,1.45,2.0,2.64,3.02,3.99,3.83
03/18/09,0.15,,0.21,0.4,0.6,0.82,1.14,1.54,2.11,2.51,3.65,3.57
03/19/09,0.1,,0.2,0.4,0.6,0.87,1.21,1.64,2.17,2.61,3.64,3.62
03/20/09,0.09,,0.22,0.41,0.6,0.89,1.23,1.66,2.18,2.65,3.67,3.65
03/23/09,0.1,,0.22,0.4,0.6,0.93,1.25,1.69,2.2,2.68,3.7,3.69
03/24/09,0.05,,0.21,0.42,0.62,0.93,1.24,1.7,2.22,2.68,3.64,3.6
03/25/09,0.03,,0.19,0.41,0.6,0.96,1.35,1.84,2.36,2.81,3.76,3.73
03/26/09,0.02,,0.15,0.39,0.57,0.9,1.29,1.8,2.34,2.76,3.69,3.66
03/27/09,0.03,,0.14,0.39,0.58,0.9,1.27,1.79,2.36,2.78,3.66,3.62
03/30/09,0.05,,0.18,0.42,0.58,0.84,1.2,1.72,2.31,2.73,3.64,3.6
03/31/09,0.17,,0.21,0.43,0.57,0.81,1.15,1.67,2.28,2.71,3.61,3.56
04/01/09,0.18,,0.22,0.41,0.58,0.83,1.16,1.65,2.25,2.68,3.54,3.51
04/02/09,0.17,,0.22,0.41,0.59,0.88,1.25,1.74,2.35,2.77,3.63,3.57
04/03/09,0.16,,0.21,0.42,0.6,0.96,1.36,1.87,2.51,2.91,3.77,3.7
04/06/09,0.16,,0.2,0.4,0.6,0.94,1.37,1.9,2.55,2.95,3.82,3.73
04/07/09,0.17,,0.2,0.39,0.6,0.91,1.33,1.87,2.51,2.93,3.79,3.72
04/08/09,0.15,,0.18,0.39,0.59,0.93,1.34,1.83,2.43,2.86,3.74,3.66
04/09/09,0.13,,0.18,0.39,0.6,0.96,1.36,1.9,2.49,2.96,3.85,3.76
04/13/09,0.12,,0.18,0.37,0.57,0.89,1.27,1.81,2.39,2.88,3.78,3.69
04/14/09,0.09,,0.17,0.35,0.54,0.86,1.21,1.71,2.31,2.8,3.73,3.64
04/15/09,0.07,,0.15,0.34,0.54,0.86,1.22,1.71,2.29,2.82,3.75,3.66
04/16/09,0.02,,0.13,0.33,0.54,0.91,1.27,1.79,2.36,2.86,3.81,3.72
04/17/09,0.04,,0.14,0.36,0.57,0.99,1.36,1.91,2.48,2.98,3.91,3.79
04/20/09,0.04,,0.14,0.34,0.54,0.93,1.27,1.82,2.39,2.88,3.8,3.69
04/21/09,0.07,,0.15,0.34,0.53,0.96,1.32,1.87,2.46,2.94,3.86,3.74
04/22/09,0.08,,0.14,0.32,0.52,1.0,1.36,1.92,2.5,2.98,3.93,3.82
04/23/09,0.08,,0.1,0.31,0.49,0.97,1.34,1.89,2.49,2.96,3.9,3.8
04/24/09,0.07,,0.1,0.31,0.5,0.99,1.38,1.96,2.56,3.03,3.99,3.89
04/27/09,0.07,,0.13,0.3,0.49,0.9,1.31,1.87,2.48,2.95,3.92,3.84
04/28/09,0.05,,0.13,0.31,0.52,0.95,1.39,1.97,2.58,3.05,4.03,3.97
04/29/09,0.04,,0.11,0.28,0.5,0.94,1.4,2.01,2.69,3.12,4.07,4.01
04/30/09,0.04,,0.14,0.29,0.49,0.91,1.38,2.02,2.7,3.16,4.1,4.05
05/01/09,0.06,,0.16,0.31,0.49,0.92,1.39,2.03,2.72,3.21,4.14,4.09
05/04/09,0.14,,0.19,0.33,0.52,0.94,1.4,2.03,2.7,3.19,4.11,4.06
05/05/09,0.14,,0.19,0.34,0.53,0.98,1.46,2.05,2.7,3.2,4.11,4.06
05/06/09,0.14,,0.19,0.32,0.51,0.96,1.43,2.06,2.7,3.18,4.12,4.09
05/07/09,0.15,,0.18,0.32,0.54,1.0,1.46,2.15,2.8,3.29,4.26,4.25
05/08/09,0.15,,0.19,0.31,0.55,1.0,1.44,2.15,2.78,3.29,4.25,4.28
05/11/09,0.16,,0.19,0.3,0.53,0.92,1.34,2.04,2.67,3.17,4.15,4.18
05/12/09,0.16,,0.19,0.3,0.54,0.9,1.34,2.02,2.67,3.17,4.13,4.16
05/13/09,0.15,,0.17,0.3,0.52,0.89,1.31,1.98,2.62,3.11,4.06,4.09
05/14/09,0.1,,0.16,0.28,0.5,0.87,1.3,1.98,2.62,3.1,4.04,4.06
05/15/09,0.11,,0.17,0.29,0.5,0.88,1.3,2.01,2.65,3.14,4.07,4.09
05/18/09,0.12,,0.19,0.3,0.5,0.93,1.36,2.09,2.73,3.22,4.16,4.18
05/19/09,0.14,,0.18,0.29,0.48,0.91,1.37,2.12,2.76,3.25,4.19,4.21
05/20/09,0.18,,0.18,0.28,0.44,0.87,1.31,2.05,2.72,3.19,4.11,4.14
05/21/09,0.13,,0.19,0.3,0.45,0.89,1.36,2.16,2.86,3.35,4.27,4.3
05/22/09,0.13,,0.18,0.3,0.49,0.92,1.39,2.23,2.96,3.45,4.36,4.38
05/26/09,0.13,,0.18,0.3,0.5,0.96,1.45,2.3,3.05,3.5,4.42,4.45
05/27/09,0.18,,0.17,0.29,0.49,0.96,1.5,2.43,3.22,3.71,4.58,4.59
05/28/09,0.14,,0.15,0.31,0.48,0.97,1.52,2.46,3.22,3.67,4.52,4.54
05/29/09,0.14,,0.14,0.3,0.47,0.92,1.42,2.34,3.06,3.47,4.34,4.34
06/01/09,0.13,,0.13,0.29,0.48,0.97,1.52,2.55,3.28,3.71,4.56,4.55
06/02/09,0.06,,0.14,0.27,0.46,0.96,1.52,2.52,3.26,3.65,4.51,4.5
06/03/09,0.08,,0.14,0.26,0.45,0.91,1.47,2.43,3.16,3.56,4.44,4.45
06/04/09,0.08,,0.14,0.28,0.47,0.96,1.54,2.56,3.31,3.72,4.58,4.58
06/05/09,0.08,,0.2,0.35,0.62,1.32,1.88,2.85,3.53,3.84,4.64,4.63
06/08/09,0.08,,0.19,0.35,0.62,1.42,2.0,2.95,3.6,3.91,4.66,4.65
06/09/09,0.09,,0.19,0.31,0.56,1.33,1.93,2.86,3.51,3.86,4.65,4.64
06/10/09,0.11,,0.18,0.31,0.55,1.38,2.0,2.93,3.59,3.98,4.75,4.76
06/11/09,0.09,,0.19,0.31,0.53,1.35,1.97,2.87,3.49,3.88,4.67,4.69
06/12/09,0.08,,0.19,0.29,0.52,1.3,1.91,2.81,3.46,3.81,4.63,4.65
06/15/09,0.08,,0.17,0.29,0.51,1.26,1.84,2.75,3.39,3.76,4.58,4.61
06/16/09,0.09,,0.17,0.3,0.51,1.23,1.79,2.7,3.32,3.67,4.47,4.48
